text,pos,total,pos_unique
,[],0,0
chapitre premier chapitre rencontre nouveau vie auteur,"['NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN']",6,2
montagnes symboliques,"['NOUN', 'ADJ']",2,2
lecteur sérieux,"['NOUN', 'ADJ']",2,2
alpinisme passage patriarches,"['NOUN', 'NOUN', 'NOUN']",3,1
père sogol,"['NOUN', 'ADJ']",2,2
parc intérieur cerveau extérieur,"['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
art faire connaissance,"['NOUN', 'VERB', 'NOUN']",3,2
homme caressait pensées rebrousse poil,"['NOUN', 'VERB', 'NOUN', 'PROPN', 'PROPN', 'NOUN']",5,3
confidences,['NOUN'],1,1
monastère satanique,"['NOUN', 'ADJ']",2,2
comment diable service induisit tentation ingénieux moine,"['ADV', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN']",7,4
industrieuse physique,"['ADJ', 'ADJ']",2,1
maladie père sogol,"['NOUN', 'NOUN', 'ADJ']",3,2
histoire mouches,"['NOUN', 'NOUN']",2,1
peur mort,"['NOUN', 'NOUN']",2,1
cœur furieux raison acier,"['NOUN', 'ADJ', 'NOUN', 'NOUN']",4,2
projet fou ramené simple problème triangulation,"['NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'NOUN']",6,3
loi psychologique,"['NOUN', 'ADJ']",2,2
commencement tout vais raconter écriture inconnue enveloppe,"['NOUN', 'ADJ', 'VERB', 'VERB', 'NOUN', 'ADJ', 'NOUN']",7,3
traits plume traçaient nom adresse revue fossiles laquelle collaborais où fait suivre lettre mélange tournant violence douceur,"['NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'PRON', 'VERB', 'PRON', 'AUX', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN']",17,5
derrière questions formulais expéditeur contenu possibles message vague puissant pressentiment évoquait image pavé mare grenouilles,"['ADP', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN']",15,4
