text,pos,total,pos_unique
,[],0,0
chapitre premier chapitre rencontre nouveau vie auteur,"['NOUN', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'ADJ']",6,2
montagnes symboliques,"['NOUN', 'ADJ']",2,2
lecteur sérieux,"['NOUN', 'ADJ']",2,2
alpinisme passage patriarches,"['NOUN', 'NOUN', 'VERB']",3,2
père sogol,"['NOUN', 'ADJ']",2,2
parc intérieur cerveau extérieur,"['NOUN', 'ADJ', 'ADJ', 'ADJ']",4,2
art faire connaissance,"['NOUN', 'VERB', 'NOUN']",3,2
homme caressait pensées rebrousse poil,"['NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN']",5,2
confidences,['NOUN'],1,1
monastère satanique,"['NOUN', 'ADJ']",2,2
comment diable service induisit tentation ingénieux moine,"['ADV', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADJ']",7,4
industrieuse physique,"['ADJ', 'ADJ']",2,1
maladie père sogol,"['NOUN', 'NOUN', 'ADJ']",3,2
histoire mouches,"['NOUN', 'NOUN']",2,1
peur mort,"['NOUN', 'ADJ']",2,2
cœur furieux raison acier,"['ADJ', 'ADJ', 'NOUN', 'NOUN']",4,2
projet fou ramené simple problème triangulation,"['NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'NOUN']",6,3
loi psychologique,"['NOUN', 'ADJ']",2,2
commencement tout vais raconter écriture inconnue enveloppe,"['ADV', 'ADV', 'VERB', 'VERB', 'NOUN', 'ADJ', 'ADJ']",7,4
traits plume traçaient nom adresse revue fossiles laquelle collaborais où fait suivre lettre mélange tournant violence douceur,"['NOUN', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'PRON', 'VERB', 'PRON', 'AUX', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ']",17,5
derrière questions formulais expéditeur contenu possibles message vague puissant pressentiment évoquait image pavé mare grenouilles,"['ADP', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ']",15,4
fond aveu montait comme bulle vie devenue bien stagnante derniers temps,"['NOUN', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN', 'VERB', 'ADV', 'ADJ', 'ADJ', 'NOUN']",11,5
aussi quand ouvris lettre su distinguer si faisait effet vivifiante bouffée air frais désagréable courant air,"['ADV', 'SCONJ', 'ADJ', 'NOUN', 'VERB', 'VERB', 'SCONJ', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'ADJ']",15,5
écriture rapide bien liée disait tout trait monsieur lu article mont analogue,"['NOUN', 'ADJ', 'ADV', 'VERB', 'VERB', 'DET', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'VERB', 'ADJ']",12,6
cru seul jusqu ici être convaincu existence,"['VERB', 'ADJ', 'NOUN', 'ADV', 'AUX', 'VERB', 'NOUN']",7,5
aujourd hui deux demain dix plus peut-être pourra tenter expédition,"['ADJ', 'NOUN', 'NUM', 'ADJ', 'NUM', 'ADV', 'ADV', 'VERB', 'VERB', 'NOUN']",10,5
faut prenions contact plus vite possible,"['VERB', 'PRON', 'NOUN', 'ADV', 'ADV', 'ADJ']",6,5
téléphonez -moi dès pourrez numéros ci-dessous,"['NOUN', 'PRON', 'ADP', 'VERB', 'NOUN', 'ADV']",6,5
attends,['VERB'],1,1
pierre sogol passage patriarches paris,"['NOUN', 'ADJ', 'NOUN', 'DET', 'PROPN']",5,4
suivaient cinq six numéros téléphone auxquels pouvais appeler différentes heures journée,"['VERB', 'NUM', 'NUM', 'NOUN', 'NOUN', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'NOUN']",11,5
déjà presque oublié article auquel correspondant faisait allusion paru près trois mois auparavant numéro mai revue fossiles,"['ADV', 'ADV', 'VERB', 'NOUN', 'ADJ', 'VERB', 'VERB', 'NOUN', 'VERB', 'ADV', 'NUM', 'NOUN', 'ADV', 'NOUN', 'NOUN', 'NOUN', 'ADJ']",17,5
flatté cette marque intérêt lecteur inconnu éprouvais temps certain malaise voir prendre tellement sérieux presque tragique fantaisie littéraire moment assez exalté maintenant souvenir déjà lointain refroidi,"['VERB', 'DET', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'VERB', 'ADV', 'ADJ', 'ADV', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'VERB', 'ADV', 'VERB', 'ADV', 'ADJ', 'ADJ']",26,5
