text,pos,total,pos_unique
avant-propos pouvant servir mode emploi nie pensée claire puisse être indicible,"['NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'AUX', 'ADJ']",11,4
pourtant apparence contredit car certaine intensité douleur où corps plus intéressé parce participait fût -ce sanglot semble -t -il aussitôt réduit cendres sommet où douleur vole propres ailes ainsi certaine intensité pensée où mots plus part,"['ADV', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'ADV', 'ADJ', 'ADV', 'VERB', 'AUX', 'PRON', 'NOUN', 'VERB', 'PART', 'PRON', 'ADV', 'VERB', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'ADV', 'NOUN']",36,8
mots conviennent certaine précision pensée comme larmes certain degré douleur,"['NOUN', 'VERB', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'NOUN']",10,4
plus vague innommable plus précis ineffable,"['ADV', 'ADJ', 'ADJ', 'ADV', 'ADJ', 'ADJ']",6,2
là vraiment apparence,"['ADV', 'ADV', 'NOUN']",3,2
si langage exprime précision intensité moyenne pensée parce moyenne humanité pense degré intensité cette intensité consent degré précision convient,"['SCONJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'DET', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB']",19,6
si arrivons faire entendre clairement outil faut accuser,"['SCONJ', 'VERB', 'AUX', 'VERB', 'ADV', 'NOUN', 'VERB', 'VERB']",8,5
langage clair suppose trois conditions parleur sachant veut dire auditeur état veille langue commune,"['NOUN', 'ADJ', 'VERB', 'NUM', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ']",14,4
suffit langage clair comme proposition algébrique claire,"['VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADJ']",7,4
faut encore contenu réel non seulement possible,"['VERB', 'ADV', 'NOUN', 'ADJ', 'ADV', 'ADV', 'ADJ']",7,4
cela faut comme quatrième élément entre interlocuteurs expérience commune chose dont parlé,"['PRON', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'PRON', 'VERB']",12,5
